sample_name	platform	qiita_prep_id	run_prefix
12802.10249.C001.01SS	Illumina	7898	10249.C001.01SS
12802.10249.C001.10SS	Illumina	7898	10249.C001.10SS
12802.10249.C001.18SS	Illumina	7898	10249.C001.18SS
12802.10249.C001.19SS	Illumina	7898	10249.C001.19SS
12802.10249.C001.20SS	Illumina	7898	10249.C001.20SS
12802.10249.C001.34SD	Illumina	7898	10249.C001.34SD
12802.10249.C001.34SS	Illumina	7898	10249.C001.34SS
12802.10249.C002.01SS	Illumina	7898	10249.C002.01SS
12802.10249.C002.01SS.r	Illumina	7898	10249.C002.01SS.r
12802.10249.C002.08SS	Illumina	7898	10249.C002.08SS
12802.10249.C002.13SS	Illumina	7898	10249.C002.13SS
12802.10249.C002.19SD	Illumina	7898	10249.C002.19SD
12802.10249.C002.19SS	Illumina	7898	10249.C002.19SS
12802.10249.C004.01SS	Illumina	7898	10249.C004.01SS
12802.10249.C004.07SS	Illumina	7898	10249.C004.07SS
12802.10249.C004.15SS	Illumina	7898	10249.C004.15SS
12802.10249.C005.01SS	Illumina	7898	10249.C005.01SS
12802.10249.C005.01SS.r	Illumina	7898	10249.C005.01SS.r
12802.10249.C005.08SS	Illumina	7898	10249.C005.08SS
12802.10249.C005.14SS	Illumina	7898	10249.C005.14SS
12802.10249.C005.20SS	Illumina	7898	10249.C005.20SS
12802.10249.C007.01SS	Illumina	7898	10249.C007.01SS
12802.10249.C007.08SS	Illumina	7898	10249.C007.08SS
12802.10249.C007.17SS	Illumina	7898	10249.C007.17SS
12802.10249.C007.23SD	Illumina	7898	10249.C007.23SD
12802.10249.C007.23SS	Illumina	7898	10249.C007.23SS
12802.10249.C008.01SS	Illumina	7898	10249.C008.01SS
12802.10249.C008.06SS	Illumina	7898	10249.C008.06SS
12802.10249.C008.07SS	Illumina	7898	10249.C008.07SS
12802.10249.C008.12SS	Illumina	7898	10249.C008.12SS
12802.10249.C009.01SS	Illumina	7898	10249.C009.01SS
12802.10249.C009.07SS	Illumina	7898	10249.C009.07SS
12802.10249.C009.13SS	Illumina	7898	10249.C009.13SS
12802.10249.C009.19SS	Illumina	7898	10249.C009.19SS
12802.10249.C010.01SS	Illumina	7898	10249.C010.01SS
12802.10249.C010.01SS.r	Illumina	7898	10249.C010.01SS.r
12802.10249.C010.09SS	Illumina	7898	10249.C010.09SS
12802.10249.C010.15SS	Illumina	7898	10249.C010.15SS
12802.10249.C010.20SD	Illumina	7898	10249.C010.20SD
12802.10249.C010.20SS	Illumina	7898	10249.C010.20SS
12802.10249.C011.01SS	Illumina	7898	10249.C011.01SS
12802.10249.C011.06SS	Illumina	7898	10249.C011.06SS
12802.10249.C011.12SS	Illumina	7898	10249.C011.12SS
12802.10249.C011.19SD	Illumina	7898	10249.C011.19SD
12802.10249.C011.19SS	Illumina	7898	10249.C011.19SS
12802.10249.C012.01SS	Illumina	7898	10249.C012.01SS
12802.10249.C012.01SS.r	Illumina	7898	10249.C012.01SS.r
12802.10249.C012.09SS	Illumina	7898	10249.C012.09SS
12802.10249.C012.15SS	Illumina	7898	10249.C012.15SS
12802.10249.C012.21SD	Illumina	7898	10249.C012.21SD
12802.10249.C012.21SS	Illumina	7898	10249.C012.21SS
12802.10249.C012.22SD	Illumina	7898	10249.C012.22SD
12802.10249.C012.22SS	Illumina	7898	10249.C012.22SS
12802.10249.C014.01SS	Illumina	7898	10249.C014.01SS
12802.10249.C014.01SS.r	Illumina	7898	10249.C014.01SS.r
12802.10249.C014.07SS	Illumina	7898	10249.C014.07SS
12802.10249.C014.13SS	Illumina	7898	10249.C014.13SS
12802.10249.C014.20SD	Illumina	7898	10249.C014.20SD
12802.10249.C014.20SS	Illumina	7898	10249.C014.20SS
12802.10249.C016.01SS	Illumina	7898	10249.C016.01SS
12802.10249.C016.02SS	Illumina	7898	10249.C016.02SS
12802.10249.C016.09SS	Illumina	7898	10249.C016.09SS
12802.10249.C016.15SS	Illumina	7898	10249.C016.15SS
12802.10249.C016.22SD	Illumina	7898	10249.C016.22SD
12802.10249.C016.22SS	Illumina	7898	10249.C016.22SS
12802.10249.C017.01SS	Illumina	7898	10249.C017.01SS
12802.10249.C017.01SS.r	Illumina	7898	10249.C017.01SS.r
12802.10249.C017.02SS	Illumina	7898	10249.C017.02SS
12802.10249.C017.03SS	Illumina	7898	10249.C017.03SS
12802.10249.C017.10SS	Illumina	7898	10249.C017.10SS
12802.10249.C018.01SS	Illumina	7898	10249.C018.01SS
12802.10249.C018.01SS.r	Illumina	7898	10249.C018.01SS.r
12802.10249.C018.06SS	Illumina	7898	10249.C018.06SS
12802.10249.C018.12SD	Illumina	7898	10249.C018.12SD
12802.10249.C018.12SS	Illumina	7898	10249.C018.12SS
12802.10249.C018.17SS	Illumina	7898	10249.C018.17SS
12802.10249.C020.01SS	Illumina	7898	10249.C020.01SS
12802.10249.C020.01SS.r	Illumina	7898	10249.C020.01SS.r
12802.10249.C020.02SS	Illumina	7898	10249.C020.02SS
12802.10249.C020.03SS	Illumina	7898	10249.C020.03SS
12802.10249.C020.04SS	Illumina	7898	10249.C020.04SS
12802.10249.C020.05SS	Illumina	7898	10249.C020.05SS
12802.10249.C020.12SS	Illumina	7898	10249.C020.12SS
12802.10249.C020.18SS	Illumina	7898	10249.C020.18SS
12802.10249.C021.01SS	Illumina	7898	10249.C021.01SS
12802.10249.C021.02SS	Illumina	7898	10249.C021.02SS
12802.10249.C021.06SS	Illumina	7898	10249.C021.06SS
12802.10249.C021.10SS	Illumina	7898	10249.C021.10SS
